answer,word_ids,vocab_size,predicted_profiles
choose,"[18, 9, 12, 12, 7, 4]",34,"[0.32085344195365906, 0.06547766923904419, 0.5122584700584412, 0.07742312550544739, 0.023987317457795143]"
compare,"[18, 12, 19, 3, 2, 11, 4]",34,"[0.2818966209888458, 0.08269795030355453, 0.16783681511878967, 0.4498263895511627, 0.017742184922099113]"
complete,"[18, 12, 19, 3, 14, 4, 8, 4]",34,"[0.3539625406265259, 0.04089198634028435, 0.41972672939300537, 0.16992542147636414, 0.015493298880755901]"
connect,"[18, 12, 5, 5, 4, 18, 8]",34,"[0.2501836121082306, 0.1208978071808815, 0.1720718890428543, 0.2922372817993164, 0.16460943222045898]"
correct,"[18, 12, 11, 11, 4, 18, 8]",34,"[0.39878785610198975, 0.13534435629844666, 0.20459692180156708, 0.20974202454090118, 0.051528945565223694]"
create,"[18, 11, 4, 2, 8, 4]",34,"[0.523749053478241, 0.05501797795295715, 0.29668989777565, 0.10921262949705124, 0.015330389142036438]"
decide,"[20, 4, 18, 6, 20, 4]",34,"[0.564915657043457, 0.20806032419204712, 0.09570774435997009, 0.09634533524513245, 0.03497099503874779]"
describe,"[20, 4, 7, 18, 11, 6, 10, 4]",34,"[0.21622848510742188, 0.05739139765501022, 0.24450406432151794, 0.38416898250579834, 0.09770699590444565]"
detail,"[20, 4, 8, 2, 6, 14]",34,"[0.4375506639480591, 0.4443807005882263, 0.07651562988758087, 0.03419981151819229, 0.007353254593908787]"
develop,"[20, 4, 28, 4, 14, 12, 3]",34,"[0.07366202771663666, 0.7500335574150085, 0.029766354709863663, 0.13876760005950928, 0.007770427968353033]"
different,"[20, 6, 22, 22, 4, 11, 4, 5, 8]",34,"[0.44825756549835205, 0.031285423785448074, 0.42841997742652893, 0.07294703274965286, 0.01908995769917965]"
discover,"[20, 6, 7, 18, 12, 28, 4, 11]",34,"[0.12401525676250458, 0.03875398263335228, 0.7111930847167969, 0.10738680511713028, 0.0186508409678936]"
example,"[4, 27, 2, 19, 3, 14, 4]",34,"[0.26457908749580383, 0.036295995116233826, 0.17472536861896515, 0.47542041540145874, 0.04897910729050636]"
explain,"[4, 27, 3, 14, 2, 6, 5]",34,"[0.29910409450531006, 0.09498315304517746, 0.3392423093318939, 0.20645056664943695, 0.060219939798116684]"
explore,"[4, 27, 3, 14, 12, 11, 4]",34,"[0.3766368627548218, 0.0720103532075882, 0.13893970847129822, 0.397098183631897, 0.015314916148781776]"
finally,"[22, 6, 5, 2, 14, 14, 21]",34,"[0.14068830013275146, 0.07829049229621887, 0.7162805199623108, 0.04342992231249809, 0.02131076157093048]"
first,"[22, 6, 11, 7, 8]",34,"[0.4207412302494049, 0.20204134285449982, 0.06926573812961578, 0.2114003300666809, 0.0965513288974762]"
